ID,title,release_year,genres,rating
1,kate leopold,2001,"['Comedy', 'Fantasy', 'Romance']",6.4
2,the aristocats,1970,"['Adventure', 'Animation', 'Comedy']",7.1
3,kelly s heroes,1970,"['Adventure', 'Comedy', 'War']",7.6
4,m a s h,1970,"['Comedy', 'Drama', 'War']",7.4
5,patton,1970,"['Biography', 'Drama', 'War']",7.9
6,thx 1138,1971,"['Drama', 'Sci-Fi', 'Thriller']",6.6
7,a clockwork orange,1971,"['Crime', 'Sci-Fi']",8.3
8,diamonds are forever,1971,"['Action', 'Adventure', 'Thriller']",6.5
9,dirty harry,1971,"['Action', 'Crime', 'Thriller']",7.7
10,the french connection,1971,"['Action', 'Crime', 'Drama']",7.7
11,harold and maude,1971,"['Comedy', 'Drama', 'Romance']",7.9
12,the last picture show,1971,"['Drama', 'Romance']",8.0
13,straw dogs,1971,"['Crime', 'Drama', 'Thriller']",7.4
14,willy wonka the chocolate factory,1971,"['Family', 'Fantasy', 'Musical']",7.8
15,aguirre der zorn gottes,1972,"['Action', 'Adventure', 'Biography']",7.8
16,cabaret,1972,"['Drama', 'Music', 'Musical']",7.8
17,deliverance,1972,"['Adventure', 'Drama', 'Thriller']",7.7
18,the godfather,1972,"['Crime', 'Drama']",9.2
19,high plains drifter,1973,"['Drama', 'Mystery', 'Western']",7.4
20,american graffiti,1973,"['Comedy', 'Drama']",7.4
21,badlands,1973,"['Action', 'Crime', 'Drama']",7.7
22,don t look now,1973,"['Drama', 'Horror', 'Mystery']",7.1
23,enter the dragon,1973,"['Action', 'Crime', 'Thriller']",7.6
24,the exorcist,1973,['Horror'],8.1
25,live and let die,1973,"['Action', 'Adventure', 'Thriller']",6.7
26,mean streets,1973,"['Crime', 'Drama', 'Thriller']",7.2
27,paper moon,1973,"['Comedy', 'Crime', 'Drama']",8.1
28,papillon,1973,"['Biography', 'Crime', 'Drama']",8.0
29,robin hood,1973,"['Adventure', 'Animation', 'Comedy']",7.5
30,serpico,1973,"['Biography', 'Crime', 'Drama']",7.7
31,soylent green,1973,"['Crime', 'Mystery', 'Sci-Fi']",7.0
32,the sting,1973,"['Comedy', 'Crime', 'Drama']",8.3
33,ultimo tango a parigi,1972,"['Drama', 'Romance']",6.9
34,westworld,1973,"['Action', 'Drama', 'Sci-Fi']",6.9
35,the wicker man,1973,"['Horror', 'Mystery', 'Thriller']",7.5
36,blazing saddles,1974,"['Comedy', 'Western']",7.7
37,chinatown,1974,"['Drama', 'Mystery', 'Thriller']",8.2
38,the conversation,1974,"['Drama', 'Mystery', 'Thriller']",7.8
39,the godfather part ii,1974,"['Crime', 'Drama']",9.0
40,the man with golden gun,1974,"['Action', 'Adventure', 'Thriller']",6.7
41,the texas chain saw massacre,1974,['Horror'],7.4
42,young frankenstein,1974,['Comedy'],8.0
43,barry lyndon,1975,"['Adventure', 'Drama', 'War']",8.1
44,dog day afternoon,1975,"['Biography', 'Crime', 'Drama']",8.0
45,jaws,1975,"['Adventure', 'Mystery', 'Thriller']",8.1
46,the man who would be king,1975,"['Adventure', 'War']",7.8
47,one flew over the cuckoo s nest,1975,['Drama'],8.7
48,the rocky horror picture show,1975,"['Comedy', 'Horror', 'Musical']",7.4
49,three days of the condor,1975,"['Crime', 'Mystery', 'Thriller']",7.4
50,all the president s men,1976,"['Drama', 'History', 'Thriller']",7.9
51,assault on precinct 13,1976,"['Action', 'Crime', 'Thriller']",7.3
52,carrie,1976,"['Horror', 'Mystery']",7.4
53,eraserhead,1977,"['Fantasy', 'Horror']",7.3
