ID,title,release_year,genres,rating
1,anatomy of a murder,1959,"['Drama', 'Mystery', 'Thriller', 'Crime']",95.0
2,bringing up baby,1938,"['Comedy', 'Romance', 'Family']",91.0
3,after life,1999,"['Drama', 'Fantasy']",91.0
4,gavagai,2018,['Drama'],91.0
5,the hustler,1961,"['Drama', 'Sport']",90.0
6,the circus,1929,"['Comedy', 'Romance']",90.0
7,national gallery,2014,"['History', 'Documentary']",89.0
8,tales of the grim sleeper,2014,"['Crime', 'Documentary']",85.0
9,the waiting room,2012,['Documentary'],84.0
10,rosie,2019,['Drama'],83.0
11,levitated mass,2014,"['Biography', 'History', 'Documentary', 'News']",82.0
12,nossa chape,2018,"['Sport', 'Documentary']",80.0
13,fiddler a miracle of miracles,2019,['Documentary'],80.0
14,liyana,2018,"['Animation', 'Documentary']",80.0
15,david crosby remember my name,2019,"['Music', 'Documentary']",80.0
16,colliding dreams,2016,"['Biography', 'History', 'Documentary', 'News']",79.0
17,the order of myths,2008,['Documentary'],79.0
18,house of games,1987,"['Thriller', 'Crime']",78.0
19,tickling giants,2017,['Documentary'],78.0
20,abuse of weakness,2014,['Drama'],77.0
21,people s republic of desire,2018,['Documentary'],77.0
22,the decline of western civilization part iii,2000,['Documentary'],77.0
23,how to change the world,2015,"['Adventure', 'Biography', 'History', 'Documentary']",77.0
24,monrovia indiana,2018,['Documentary'],77.0
25,the death and life of marsha p johnson,2017,['Documentary'],76.0
26,outside in,2018,['Drama'],76.0
27,3 1 2 minutes 10 bullets,2015,"['Drama', 'Crime', 'Documentary', 'News']",76.0
28,keep quiet,2017,['Documentary'],76.0
29,trees lounge,1996,"['Drama', 'Comedy']",76.0
30,afternoon of a faun tanaquil le clercq,2014,"['Biography', 'Drama', 'Music', 'Documentary']",76.0
31,promare,2019,"['Adventure', 'Sci-Fi', 'Animation']",76.0
32,heavy,1996,"['Drama', 'Romance']",75.0
33,charlie s country,2015,['Drama'],75.0
34,what ever happened to baby jane,1962,"['Drama', 'Thriller', 'Horror']",75.0
35,little woods,2019,"['Drama', 'Crime', 'Western']",74.0
36,land and shade,2016,['Drama'],74.0
37,the rape of recy taylor,2017,['Documentary'],73.0
38,t error,2015,['Documentary'],73.0
39,china blue,2007,['Documentary'],73.0
40,big animal,2004,"['Drama', 'Comedy']",73.0
41,one week and a day,2017,"['Drama', 'Comedy']",72.0
42,saturday church,2018,"['Drama', 'Fantasy', 'Musical']",72.0
43,violette,2014,"['Biography', 'Drama']",72.0
44,the kill team,2014,['Documentary'],72.0
