ID,title,release_year,genres,rating
1,toy story,1995,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.9
2,jumanji,1995,"['Adventure', 'Children', 'Fantasy']",3.4
3,grumpier old men,1995,"['Comedy', 'Romance']",3.3
4,waiting to exhale,1995,"['Comedy', 'Drama', 'Romance']",2.4
5,father of the bride part ii,1995,['Comedy'],3.1
6,heat,1995,"['Action', 'Crime', 'Thriller']",3.9
7,sabrina,1995,"['Comedy', 'Romance']",3.2
8,tom and huck,1995,"['Adventure', 'Children']",2.9
9,sudden death,1995,['Action'],3.1
10,goldeneye,1995,"['Action', 'Adventure', 'Thriller']",3.5
11,american president,1995,"['Comedy', 'Drama', 'Romance']",3.7
12,dracula dead and loving it,1995,"['Comedy', 'Horror']",2.4
13,balto,1995,"['Adventure', 'Animation', 'Children']",3.1
14,nixon,1995,['Drama'],3.8
15,cutthroat island,1995,"['Action', 'Adventure', 'Romance']",3.0
16,casino,1995,"['Crime', 'Drama']",3.9
17,sense and sensibility,1995,"['Drama', 'Romance']",3.8
18,four rooms,1995,['Comedy'],3.7
19,ace ventura when nature calls,1995,['Comedy'],2.7
20,money train,1995,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",2.5
21,get shorty,1995,"['Comedy', 'Crime', 'Thriller']",3.5
22,copycat,1995,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",3.2
23,assassins,1995,"['Action', 'Crime', 'Thriller']",3.1
24,powder,1995,"['Drama', 'Sci-Fi']",3.1
25,leaving las vegas,1995,"['Drama', 'Romance']",3.6
26,othello,1995,['Drama'],3.5
27,now and then,1995,"['Children', 'Drama']",3.3
28,persuasion,1995,"['Drama', 'Romance']",4.2
29,city of lost children,1995,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",4.0
30,shanghai triad,1995,"['Crime', 'Drama']",3.0
31,dangerous minds,1995,['Drama'],3.2
32,twelve monkeys,1995,"['Mystery', 'Sci-Fi', 'Thriller']",4.0
33,babe,1995,"['Children', 'Drama']",3.7
34,dead man walking,1995,"['Crime', 'Drama']",3.8
35,it takes two,1995,"['Children', 'Comedy']",2.1
36,clueless,1995,"['Comedy', 'Romance']",3.3
37,cry the beloved country,1995,['Drama'],4.2
38,richard iii,1995,"['Drama', 'War']",3.7
39,dead presidents,1995,"['Action', 'Crime', 'Drama']",3.0
40,restoration,1995,['Drama'],3.2
41,mortal kombat,1995,"['Action', 'Adventure', 'Fantasy']",2.5
42,to die for,1995,"['Comedy', 'Drama', 'Thriller']",3.3
43,how to make an american quilt,1995,"['Drama', 'Romance']",3.1
44,seven,1995,"['Mystery', 'Thriller']",4.0
45,pocahontas,1995,"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",3.1
46,when night is falling,1995,"['Drama', 'Romance']",3.0
47,usual suspects,1995,"['Crime', 'Mystery', 'Thriller']",4.2
48,mighty aphrodite,1995,"['Comedy', 'Drama', 'Romance']",3.5
49,lamerica,1994,"['Adventure', 'Drama']",5.0
50,big green,1995,"['Children', 'Comedy']",2.3
51,georgia,1995,['Drama'],4.0
52,home for the holidays,1995,['Drama'],3.1
53,postman,1994,"['Comedy', 'Drama', 'Romance']",4.0
54,indian in the cupboard,1995,"['Adventure', 'Children', 'Fantasy']",3.2
55,eye for an,1996,"['Drama', 'Thriller']",3.8
56,mr holland s opus,1995,['Drama'],3.7
57,don t be a menace to south central while drinking your juice in the hood,1996,"['Comedy', 'Crime']",2.7
58,two if by sea,1996,"['Comedy', 'Romance']",2.2
59,bio dome,1996,['Comedy'],2.5
60,lawnmower man 2 beyond cyberspace,1996,"['Action', 'Sci-Fi', 'Thriller']",2.5
61,french twist,1995,"['Comedy', 'Romance']",3.4
62,friday,1995,['Comedy'],3.8
63,from dusk till dawn,1996,"['Action', 'Comedy', 'Horror', 'Thriller']",3.5
64,fair game,1995,['Action'],1.7
65,kicking and screaming,1995,"['Comedy', 'Drama']",3.2
66,miserables les,1995,"['Drama', 'War']",3.5
67,bed of roses,1996,"['Drama', 'Romance']",4.0
68,big bully,1996,"['Comedy', 'Drama']",2.2
69,screamers,1995,"['Action', 'Sci-Fi', 'Thriller']",3.4
70,nico icon,1995,['Documentary'],4.0
71,crossing guard,1995,"['Action', 'Crime', 'Drama', 'Thriller']",3.3
72,juror,1996,"['Drama', 'Thriller']",2.8
73,white balloon,1995,"['Children', 'Drama']",4.0
74,things to do in denver when you re dead,1995,"['Crime', 'Drama', 'Romance']",3.1
75,antonia s line,1995,"['Comedy', 'Drama']",3.9
76,once upon a time when we were colored,1995,"['Drama', 'Romance']",3.0
77,angels and insects,1995,"['Drama', 'Romance']",3.9
78,white squall,1996,"['Action', 'Adventure', 'Drama']",4.0
79,dunston checks in,1996,"['Children', 'Comedy']",2.5
80,black sheep,1996,['Comedy'],3.2
81,nick of time,1995,"['Action', 'Thriller']",3.2
82,mary reilly,1996,"['Drama', 'Horror', 'Thriller']",2.6
83,vampire in brooklyn,1995,"['Comedy', 'Horror', 'Romance']",2.8
84,beautiful girls,1996,"['Comedy', 'Drama', 'Romance']",4.0
85,broken arrow,1996,"['Action', 'Adventure', 'Thriller']",3.0
86,in the bleak midwinter,1995,"['Comedy', 'Drama']",3.5
87,hate,1995,"['Crime', 'Drama']",3.9
88,heidi fleiss hollywood madam,1995,['Documentary'],5.0
89,city hall,1996,"['Drama', 'Thriller']",2.8
90,bottle rocket,1996,"['Adventure', 'Comedy', 'Crime', 'Romance']",3.8
91,mr wrong,1996,['Comedy'],2.4
92,unforgettable,1996,"['Mystery', 'Sci-Fi', 'Thriller']",3.0
93,happy gilmore,1996,['Comedy'],3.4
94,bridges of madison county,1995,"['Drama', 'Romance']",3.3
95,nobody loves me,1994,"['Comedy', 'Drama']",4.0
96,muppet treasure island,1996,"['Adventure', 'Children', 'Comedy', 'Musical']",3.3
97,catwalk,1996,['Documentary'],4.0
98,braveheart,1995,"['Action', 'Drama', 'War']",4.0
99,taxi driver,1976,"['Crime', 'Drama', 'Thriller']",4.1
100,rumble in the bronx,1995,"['Action', 'Adventure', 'Comedy', 'Crime']",3.5
101,before and after,1996,"['Drama', 'Mystery']",3.3
102,anne frank remembered,1995,['Documentary'],3.9
103,young poisoner s handbook,1995,"['Crime', 'Drama']",3.0
104,if lucy fell,1996,"['Comedy', 'Romance']",2.5
105,steal big little,1995,['Comedy'],3.0
106,boys of st vincent,1992,['Drama'],4.0
107,boomerang,1992,"['Comedy', 'Romance']",2.7
108,chungking express,1994,"['Drama', 'Mystery', 'Romance']",4.4
109,flirting with disaster,1996,['Comedy'],3.6
110,neverending story iii,1994,"['Adventure', 'Children', 'Fantasy']",2.0
111,jupiter s wife,1994,['Documentary'],3.0
112,pie in the sky,1996,"['Comedy', 'Romance']",2.0
113,jade,1995,['Thriller'],2.8
