ID,title,release_year,genres,rating
1,percy jackson the olympians lightning thief,2010,"['Action', 'Adventure', 'Comedy', 'Drama', 'Science Fiction', 'Fantasy']",49.0
2,please give,2010,['Comedy'],87.0
3,10,1979,"['Comedy', 'Romance']",67.0
4,12 angry men,1957,"['Classics', 'Drama']",100.0
5,20 000 leagues under the sea,1954,"['Action', 'Adventure', 'Drama', 'Kids', 'Family']",89.0
6,10 000 b c,2008,"['Action', 'Adventure', 'Classics', 'Drama']",8.0
7,the 39 steps,1935,"['Action', 'Adventure', 'Classics', 'Mystery', 'Suspense']",96.0
8,3 10 to yuma,1957,"['Classics', 'Drama', 'Western']",96.0
9,charly,2002,"['Comedy', 'Drama', 'Romance']",20.0
10,abraham lincoln,1930,"['Classics', 'Drama']",82.0
11,dark water,2002,"['Art House', 'International', 'Horror', 'Mystery', 'Suspense']",80.0
12,the accused,1988,"['Drama', 'Mystery', 'Suspense']",91.0
13,the lost city,2005,['Drama'],25.0
14,the breaking point,1950,['Drama'],100.0
15,adam s rib,1949,"['Classics', 'Comedy', 'Romance']",96.0
16,the bridge of san luis rey,2005,"['Art House', 'International', 'Drama', 'Faith', 'Spirituality']",4.0
17,the prowler,1951,"['Drama', 'Mystery', 'Suspense']",100.0
18,criminal,2004,"['Drama', 'Mystery', 'Suspense']",69.0
19,the adventures of mark twain,1985,"['Action', 'Adventure', 'Animation', 'Kids', 'Family']",80.0
20,deep blue,2005,"['Documentary', 'Special Interest']",67.0
21,the adventures of robin hood,1938,"['Action', 'Adventure', 'Classics', 'Romance']",100.0
22,man hunt,1941,"['Classics', 'Drama', 'Mystery', 'Suspense']",92.0
23,dead end,2003,"['Comedy', 'Horror', 'Mystery', 'Suspense']",75.0
24,bandwagon,1997,['Comedy'],80.0
25,whore,2004,"['Art House', 'International', 'Drama']",0.0
26,tristan isolde,2006,"['Drama', 'Science Fiction', 'Fantasy', 'Romance']",31.0
27,wild side,2005,"['Art House', 'International', 'Drama']",63.0
28,a tale of two pizzas,2003,['Comedy'],38.0
29,running scared,2006,"['Action', 'Adventure', 'Drama', 'Mystery', 'Suspense']",41.0
30,going the distance,2004,['Comedy'],0.0
31,ultraviolet,2006,"['Action', 'Adventure', 'Drama', 'Horror', 'Science Fiction', 'Fantasy']",8.0
32,home of the brave,2004,"['Action', 'Adventure', 'Documentary', 'Drama', 'Special Interest']",93.0
33,arthur and the invisibles,2007,"['Animation', 'Kids', 'Family', 'Science Fiction', 'Fantasy']",22.0
34,malevolence,2004,['Horror'],33.0
35,eternal,2004,"['Horror', 'Mystery', 'Suspense']",21.0
36,a farewell to arms,1957,"['Classics', 'Drama', 'Romance']",0.0
37,the narrow margin,1952,"['Classics', 'Drama', 'Mystery', 'Suspense']",100.0
38,the matador,2006,"['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery', 'Suspense']",75.0
39,smile,2005,"['Art House', 'International', 'Comedy', 'Drama']",15.0
40,the intruder,2005,"['Art House', 'International', 'Drama']",87.0
41,saint ralph,2005,"['Comedy', 'Drama']",64.0
42,the baxter,2005,"['Comedy', 'Romance']",32.0
43,oliver twist,2005,"['Drama', 'Kids', 'Family']",61.0
44,the alamo,1960,"['Action', 'Adventure', 'Classics', 'Drama', 'Western']",52.0
45,g,2005,"['Drama', 'Romance']",24.0
46,alexander the great,1956,['Classics'],0.0
47,alfie,1966,"['Classics', 'Comedy', 'Drama', 'Romance']",96.0
48,neverwas,2005,"['Drama', 'Mystery', 'Suspense']",14.0
49,the second chance,2006,"['Drama', 'Faith', 'Spirituality']",44.0
50,moonlight,2003,"['Drama', 'Mystery', 'Suspense']",60.0
51,aliens,1986,"['Action', 'Adventure', 'Horror', 'Science Fiction', 'Fantasy']",97.0
52,rise blood hunter,2007,"['Horror', 'Mystery', 'Suspense']",36.0
53,all about eve,1950,"['Classics', 'Drama']",99.0
54,when do we eat,2006,['Comedy'],42.0
55,the mostly unfabulous social life of ethan green,2006,"['Comedy', 'Drama']",30.0
56,dirty,2006,['Drama'],21.0
57,stay alive,2006,"['Horror', 'Mystery', 'Suspense']",10.0
58,all of me,1984,"['Comedy', 'Science Fiction', 'Fantasy']",85.0
59,all quiet on the western front,2018,['Drama'],100.0
60,dreamland,2006,"['Art House', 'International', 'Drama']",67.0
61,independent lens,2006,"['Documentary', 'Special Interest']",84.0
62,all the king s men,1949,"['Classics', 'Drama']",95.0
63,street fight,2005,"['Documentary', 'Special Interest']",100.0
64,lost horizon,1973,"['Action', 'Adventure', 'Drama', 'Musical', 'Performing Arts', 'Science Fiction', 'Fantasy']",20.0
65,the motel,2005,"['Comedy', 'Drama']",88.0
66,once in a lifetime the extraordinary story of new york cosmos,2006,"['Documentary', 'Sports', 'Fitness']",81.0
67,requiem,2006,"['Art House', 'International', 'Drama', 'Horror', 'Mystery', 'Suspense']",86.0
68,gui si,2006,"['Art House', 'International', 'Horror', 'Mystery', 'Suspense']",40.0
69,park,2006,"['Art House', 'International', 'Comedy', 'Drama']",36.0
70,the 4th dimension,2006,"['Drama', 'Science Fiction', 'Fantasy']",63.0
71,bon cop bad,2006,"['Action', 'Adventure', 'Comedy']",78.0
72,amazing grace,2007,"['Drama', 'Mystery', 'Suspense']",67.0
73,the silence,2016,"['Action', 'Adventure', 'Drama', 'Mystery', 'Suspense', 'Television']",50.0
74,cocaine cowboys,2006,['Documentary'],69.0
75,gone,2007,"['Horror', 'Mystery', 'Suspense']",54.0
76,the situation,2006,"['Drama', 'Mystery', 'Suspense']",35.0
77,snow blind,2006,"['Documentary', 'Sports', 'Fitness']",20.0
78,four sheets to the wind,2007,"['Art House', 'International', 'Drama']",100.0
79,the tiger s tail,2006,"['Comedy', 'Drama', 'Mystery', 'Suspense']",14.0
80,it s a boy girl thing,2006,"['Comedy', 'Romance']",67.0
81,slipstream,2007,"['Art House', 'International', 'Comedy', 'Drama', 'Science Fiction', 'Fantasy']",25.0
82,delirious,2007,"['Comedy', 'Drama']",83.0
83,interview,2007,"['Art House', 'International', 'Drama']",58.0
84,american anthem,1986,"['Action', 'Adventure', 'Documentary', 'Drama']",0.0
85,the ten,2007,['Comedy'],35.0
86,the happening,2008,"['Drama', 'Mystery', 'Suspense', 'Science Fiction', 'Fantasy']",17.0
87,moliere,2007,['Comedy'],69.0
88,straightheads,2007,"['Drama', 'Mystery', 'Suspense']",40.0
89,borderland,2007,"['Drama', 'Horror', 'Mystery', 'Suspense']",100.0
90,spiral,2007,"['Drama', 'Mystery', 'Suspense']",55.0
91,alexandra,2007,['Drama'],88.0
92,blood and tears the arab israeli conflict,2007,['Documentary'],50.0
93,the cool school,2008,"['Documentary', 'Musical', 'Performing Arts']",92.0
94,pathology,2008,"['Drama', 'Mystery', 'Suspense']",45.0
95,disney s a christmas carol,2009,"['Animation', 'Drama', 'Kids', 'Family', 'Science Fiction', 'Fantasy']",52.0
96,deep water,2006,"['Documentary', 'Special Interest']",96.0
97,road to victory,2007,"['Art House', 'International', 'Drama', 'Sports', 'Fitness']",78.0
98,beverly hills chihuahua,2008,['Comedy'],40.0
99,fireflies in the garden,2011,['Drama'],22.0
100,the eye,2008,"['Drama', 'Horror', 'Mystery', 'Suspense']",21.0
101,day of the dead,2008,"['Horror', 'Mystery', 'Suspense']",13.0
102,my best friend s girl,2008,"['Comedy', 'Drama']",14.0
103,the burrowers,2008,"['Horror', 'Mystery', 'Suspense', 'Western']",75.0
104,the midnight meat train,2008,"['Drama', 'Horror', 'Mystery', 'Suspense']",73.0
105,the lucky ones,2008,"['Comedy', 'Drama']",37.0
106,run fatboy,2007,['Comedy'],47.0
107,closing escrow,2007,['Comedy'],54.0
108,whiteout,2009,"['Action', 'Adventure', 'Drama', 'Mystery', 'Suspense']",7.0
109,randy and the mob,2007,"['Comedy', 'Documentary']",56.0
110,black irish,2007,['Drama'],31.0
111,wild child,2008,['Comedy'],41.0
112,powder blue,2009,['Drama'],25.0
113,king corn,2007,"['Documentary', 'Musical', 'Performing Arts', 'Special Interest']",96.0
114,l avocat de la terreur,2007,"['Art House', 'International', 'Documentary', 'Special Interest']",87.0
115,darfur now,2007,"['Documentary', 'Drama', 'Musical', 'Performing Arts', 'Special Interest']",73.0
116,laaga chunari mein daag journey of a woman,2007,"['Art House', 'International', 'Drama']",50.0
117,rails ties,2007,['Drama'],34.0
