norm_title,year_cluster,rating_imdb,rating_metacritic,rating_movielens,rating_rt_audience,title,release_year,genres_any
,1,,,,57.0,(Untitled),,['Comedy']
00 schneider jagd auf nihil baxter,1,,,4.5,,00 Schneider - Jagd auf Nihil Baxter,1994,"['Comedy', 'Crime']"
1,1,,,,39.0,+1,2013,"['Horror', 'Mystery & Suspense']"
1 000 times good night,1,,,,65.0,"1,000 Times Good Night",2014,['Drama']
1 54,1,,,,57.0,1:54,2018,"['Art House & International', 'Drama']"
1 900,1,,,4.0,,1-900 (06),1994,"['Drama', 'Romance']"
1 night,1,,,,61.0,1 Night (One Night),2017,"['Drama', 'Romance']"
10,1,,6.8,3.4,53.0,10,1979,"['Comedy', 'Romance']"
10 000 b c,1,,,,37.0,"10,000 B.C.",2008,"['Action & Adventure', 'Classics', 'Drama']"
10 000 bc,1,5.1,4.6,2.7,,"10,000 BC",2008,"['Action', 'Adventure', 'Drama']"
10 000 km,1,,7.6,,,"10,000 km",2015,"['Drama', 'Comedy', 'Romance']"
10 cent pistol,1,,,1.2,29.0,10 Cent Pistol,2015,"['Crime', 'Thriller']"
10 cloverfield lane,1,7.2,7.7,3.7,79.0,10 Cloverfield Lane,2016,"['Drama', 'Horror', 'Mystery']"
10 items or less,1,,5.8,2.7,,10 Items or Less,2006,"['Drama', 'Comedy', 'Romance']"
10 minutes gone,1,,,,18.0,10 Minutes Gone,2019,"['Action & Adventure', 'Mystery & Suspense']"
10 mph,1,,,,64.0,10 MPH,,"['Documentary', 'Special Interest']"
10 questions for the dalai lama,1,,,,73.0,10 Questions for the Dalai Lama,2007,"['Documentary', 'Special Interest', 'Faith & Spirituality']"
10 rules for sleeping around,1,,,,11.0,10 Rules For Sleeping Around,2014,['Comedy']
10 things i hate about you,1,7.3,6.9,3.5,69.0,10 Things I Hate About You,1999,"['Comedy', 'Drama', 'Romance']"
10 to midnight,1,,,,50.0,10 to Midnight,1983,"['Action & Adventure', 'Drama', 'Mystery & Suspense']"
10 years,1,,6.8,3.5,40.0,10 Years,2011,"['Drama', 'Comedy', 'Romance']"
100 bloody acres,1,,7.5,,47.0,100 Bloody Acres,2013,"['Horror', 'Comedy']"
100 girls,1,,,3.2,50.0,100 Girls,2000,"['Comedy', 'Romance']"
100 streets,1,,,2.5,36.0,100 Streets,2016,['Drama']
1001 grams,1,,,,48.0,1001 Grams,2015,['Drama']
101 dalmatians,1,,,3.4,76.0,101 Dalmatians (One Hundred and One Dalmatians),1961,"['Adventure', 'Animation', 'Children']"
101 dalmatians,2,5.7,6.0,3.1,40.0,101 Dalmatians,1996,"['Adventure', 'Comedy', 'Crime']"
101 dalmatians,3,,7.9,,,101 Dalmatians,,"['Adventure', 'Comedy', 'Animation', 'Family']"
101 dalmatians ii patch s london adventure,1,,,2.5,41.0,101 Dalmatians II: Patch's London Adventure,2002,"['Animation', 'Children']"
101 reykjavik,1,,,3.5,,101 Reykjavik (101 Reykjavík),2000,"['Comedy', 'Drama', 'Romance']"
102 dalmatians,1,,5.1,2.8,32.0,102 Dalmatians,2000,"['Comedy', 'Family']"
10th kingdom,1,,,2.8,,"10th Kingdom, The",2000,"['Adventure', 'Comedy', 'Fantasy']"
10th victim,1,,,4.0,,"10th Victim, The (La decima vittima)",1965,"['Action', 'Comedy', 'Sci-Fi', 'Thriller']"
10th wolf,1,,6.8,4.5,52.0,10th & Wolf,2006,"['Drama', 'Mystery', 'Thriller', 'Crime']"
10x10,1,,,,21.0,10x10,2018,['Mystery & Suspense']
11,1,,,,17.0,11-11-11,,"['Drama', 'Horror']"
11 09 01 september,1,,,4.0,,"11'09""01 - September 11",2002,['Drama']
11 14,1,,,3.8,76.0,11:14,2003,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']"
11 55,1,,,,79.0,11:55,2017,['Drama']
11 8 16,1,,,,61.0,11/8/16,2017,['Documentary']
11 flowers,1,,7.1,,,11 Flowers,2013,['Drama']
11 minutes,1,,5.1,,38.0,11 Minutes,2016,"['Drama', 'Thriller']"
112 weddings,1,,,,61.0,112 Weddings,2013,"['Documentary', 'Special Interest', 'Romance']"
11th hour,1,,,4.0,,"11th Hour, The",2007,['Documentary']
12,1,,,,84.0,12,2007,"['Art House & International', 'Drama', 'Mystery & Suspense']"
12,2,,7.4,,,12,2009,"['Drama', 'Thriller', 'Crime', 'War']"
12 08 east of bucharest,1,,7.9,,75.0,12:08 East of Bucharest,2007,"['Drama', 'Comedy', 'Music']"
12 angry men,1,,,4.1,97.0,12 Angry Men,1957,['Drama']
12 angry men,2,,,5.0,87.0,12 Angry Men,1997,"['Crime', 'Drama']"
12 angry men,3,,9.3,,,12 Angry Men,,"['Drama', 'Crime']"
12 chairs,1,,,4.5,,12 Chairs,1971,"['Adventure', 'Comedy']"
12 chairs,2,,,5.0,,12 Chairs,1976,"['Adventure', 'Comedy']"
12 monkeys,1,8.0,,,,12 Monkeys,1995,"['Mystery', 'Sci-Fi', 'Thriller']"
