title,release_year,genres,rating_imdb,rating_metacritic,rating_movielens,rating_rt_audience
10,1979,"['Comedy', 'Romance']",,6.8,3.4,53.0
"10,000 BC",2008,"['Action', 'Adventure', 'Drama']",5.1,4.6,2.7,
10 Cent Pistol,2015,"['Crime', 'Thriller']",,,1.2,29.0
10 Cloverfield Lane,2016,"['Drama', 'Horror', 'Mystery']",7.2,7.7,3.7,79.0
10 Items or Less,2006,"['Drama', 'Comedy', 'Romance']",,5.8,2.7,
10 Things I Hate About You,1999,"['Comedy', 'Drama', 'Romance']",7.3,6.9,3.5,69.0
10 Years,2011,"['Drama', 'Comedy', 'Romance']",,6.8,3.5,40.0
100 Bloody Acres,2013,"['Horror', 'Comedy']",,7.5,,47.0
100 Girls,2000,"['Comedy', 'Romance']",,,3.2,50.0
100 Streets,2016,['Drama'],,,2.5,36.0
101 Dalmatians (One Hundred and One Dalmatians),1961,"['Adventure', 'Animation', 'Children']",,,3.4,76.0
101 Dalmatians,1996,"['Adventure', 'Comedy', 'Crime']",5.7,6.0,3.1,40.0
101 Dalmatians II: Patch's London Adventure,2002,"['Animation', 'Children']",,,2.5,41.0
102 Dalmatians,2000,"['Comedy', 'Family']",,5.1,2.8,32.0
10th & Wolf,2006,"['Drama', 'Mystery', 'Thriller', 'Crime']",,6.8,4.5,52.0
11:14,2003,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']",,,3.8,76.0
11 Minutes,2016,"['Drama', 'Thriller']",,5.1,,38.0
12:08 East of Bucharest,2007,"['Drama', 'Comedy', 'Music']",,7.9,,75.0
12 Angry Men,1957,['Drama'],,,4.1,97.0
12 Angry Men,1997,"['Crime', 'Drama']",,,5.0,87.0
12 O'Clock Boys,2014,"['Biography', 'Documentary']",,4.6,,64.0
12 Rounds,2009,"['Action', 'Thriller', 'Crime']",,4.9,3.0,45.0
12 Strong,2018,"['Action', 'Drama', 'History']",6.5,6.4,,62.0
12 Years a Slave,2013,"['Biography', 'Drama', 'History']",8.1,8.1,3.6,90.0
127 Hours,2010,"['Biography', 'Drama']",7.5,8.1,3.8,85.0
13,2011,"['Drama', 'Thriller']",,5.0,,34.0
13 Assassins,2010,"['Action', 'Adventure', 'Drama']",7.5,7.9,4.0,88.0
13 Ghosts,1960,['Horror'],,,3.1,41.0
13 Going on 30,2004,"['Comedy', 'Fantasy', 'Romance']",6.3,8.0,3.2,70.0
13 Hours,2016,"['Action', 'Drama', 'History']",7.3,,3.3,
13 Hours: The Secret Soldiers of Benghazi,2016,"['Action', 'Drama', 'Thriller', 'War']",,6.9,,82.0
13 Sins,2014,"['Thriller', 'Horror']",,6.8,3.5,45.0
13 Tzameti,2005,"['Drama', 'Thriller', 'Crime']",,7.5,4.5,85.0
13th,2016,"['Crime', 'Documentary']",,7.9,4.5,
1408,2007,"['Fantasy', 'Horror', 'Mystery']",6.8,8.3,3.2,61.0
1492: Conquest of Paradise,1992,"['Adventure', 'Biography', 'Drama', 'History']",,4.7,2.5,50.0
15 Minutes,2001,"['Action', 'Crime', 'Drama']",6.1,6.1,3.0,37.0
16 Blocks,2006,"['Action', 'Drama', 'Thriller']",6.6,7.9,3.0,57.0
17 Again,2009,"['Comedy', 'Drama', 'Fantasy']",6.4,5.9,3.6,67.0
1776,1972,"['Children', 'Drama', 'Musical']",,,3.5,84.0
18 Again!,1988,"['Comedy', 'Fantasy']",,,1.5,46.0
1900 (Novecento),1976,"['Drama', 'War']",,,4.5,85.0
1911,2011,"['Action', 'Adventure', 'Drama', 'History', 'War']",,6.1,,30.0
1917,2019,"['Action', 'Drama', 'War']",8.2,,,88.0
1922,2017,"['Drama', 'Mystery', 'Thriller', 'Horror', 'Crime']",,6.8,,57.0
