title,year,release_date_imdb,rating_imdb
kate leopold,2001,2001-12-11,6.4
aristocats,1970,1970-12-11,7.1
kellys heroes,1970,1970-01-01,7.6
mash,1970,1970-01-25,7.4
patton,1970,1970-02-04,7.9
thx 1138,1971,1971-03-11,6.6
clockwork orange,1971,1971-12-19,8.3
diamonds are forever,1971,1971-12-14,6.5
dirty harry,1971,1971-12-21,7.7
french connection,1971,1971-10-07,7.7
harold and maude,1971,1971-12-20,7.9
last picture show,1971,1971-10-02,8.0
straw dogs,1971,1971-11-25,7.4
willy wonka the chocolate factory,1971,1971-06-28,7.8
aguirre der zorn gottes,1972,1972-12-29,7.8
cabaret,1972,1972-02-13,7.8
deliverance,1972,1972-07-30,7.7
godfather,1972,1972-03-14,9.2
high plains drifter,1973,1973-04-06,7.4
american graffiti,1973,1973-07-27,7.4
badlands,1973,1973-10-13,7.7
dont look now,1973,1973-10-11,7.1
enter the dragon,1973,1973-07-26,7.6
exorcist,1973,1973-12-26,8.1
live and let die,1973,1973-06-27,6.7
mean streets,1973,1973-10-02,7.2
paper moon,1973,1973-04-09,8.1
papillon,1973,1973-12-16,8.0
robin hood,1973,1973-11-08,7.5
serpico,1973,1973-12-05,7.7
soylent green,1973,1973-04-18,7.0
sting,1973,1973-12-25,8.3
ultimo tango a parigi,1972,1972-10-14,6.9
westworld,1973,1973-10-24,6.9
wicker man,1973,1973-12-06,7.5
blazing saddles,1974,1974-02-07,7.7
chinatown,1974,1974-06-19,8.2
conversation,1974,1974-04-07,7.8
godfather part ii,1974,1974-12-12,9.0
man with the golden gun,1974,1974-12-14,6.7
texas chain saw massacre,1974,1974-10-01,7.4
young frankenstein,1974,1974-12-15,8.0
barry lyndon,1975,1975-12-11,8.1
dog day afternoon,1975,1975-09-19,8.0
jaws,1975,1975-06-20,8.1
man who would be king,1975,1975-11-27,7.8
one flew over the cuckoos nest,1975,1975-11-19,8.7
rocky horror picture show,1975,1975-08-14,7.4
three days of the condor,1975,1975-09-24,7.4
all the presidents men,1976,1976-04-04,7.9
assault on precinct 13,1976,1976-10-08,7.3
carrie,1976,1976-11-03,7.4
eraserhead,1977,1977-03-19,7.3
logans run,1976,1976-06-23,6.8
marathon man,1976,1976-10-06,7.4
network,1976,1976-11-14,8.1
omen,1976,1976-06-25,7.5
outlaw josey wales,1976,1976-06-26,7.8
rocky,1976,1976-11-20,8.1
taxi driver,1976,1976-02-08,8.2
annie hall,1977,1977-03-27,8.0
bridge too far,,,7.4
close encounters of the third kind,1977,1977-11-15,7.6
rescuers,1977,1977-06-19,6.9
saturday night fever,1977,1977-12-12,6.8
smokey and the bandit,1977,1977-05-19,7.0
spy who loved me,1977,1977-07-07,7.0
star wars,1977,1977-05-25,8.6
dawn of the dead,1978,1978-09-01,7.8
days of heaven,1978,1978-09-13,7.8
deer hunter,1978,1978-12-08,8.1
grease,1978,1978-06-13,7.2
halloween,1978,1978-10-25,7.7
invasion of the body snatchers,1978,1978-12-21,7.4
jaws 2,1978,1978-06-16,5.8
midnight express,,,7.5
national lampoons animal house,1978,1978-07-27,7.4
superman,1978,1978-12-10,7.4
alien,1979,1979-05-25,8.5
apocalypse now,1979,1979-05-19,8.4
cannibal holocaust,1980,1980-02-07,5.8
escape from alcatraz,1979,1979-06-22,7.6
