title,release_date_meta,year,rating_metacritic
anatomy of a murder,1959-07-01,1959,95
bringing up baby,1938-02-18,1938,91
after life,1999-05-12,1999,91
gavagai,2018-08-03,2018,91
hustler,1961-09-25,1961,90
circus,1929-01-01,1929,90
national gallery,2014-11-05,2014,89
tales of the grim sleeper,2014-12-26,2014,85
waiting room,2012-09-28,2012,84
rosie,2019-07-19,2019,83
levitated mass,2014-09-05,2014,82
nossa chape,2018-06-01,2018,80
fiddler a miracle of miracles,2019-08-23,2019,80
liyana,2018-10-10,2018,80
david crosby remember my name,2019-07-19,2019,80
colliding dreams,2016-03-04,2016,79
order of myths,2008-07-25,2008,79
house of games,1987-10-14,1987,78
tickling giants,2017-03-15,2017,78
abuse of weakness,2014-08-15,2014,77
peoples republic of desire,2018-11-30,2018,77
decline of western civilization part iii,2000-07-07,2000,77
how to change the world,2015-09-09,2015,77
monrovia indiana,2018-10-26,2018,77
death and life of marsha p johnson,2017-10-06,2017,76
outside in,2018-03-30,2018,76
3 12 minutes 10 bullets,2015-06-19,2015,76
keep quiet,2017-02-10,2017,76
trees lounge,1996-10-11,1996,76
afternoon of a faun tanaquil le clercq,2014-02-05,2014,76
promare,2019-09-17,2019,76
heavy,1996-06-05,1996,75
charlies country,2015-06-05,2015,75
what ever happened to baby jane,1962-10-31,1962,75
little woods,2019-04-19,2019,74
land and shade,2016-06-17,2016,74
rape of recy taylor,2017-12-08,2017,73
terror,2015-10-07,2015,73
china blue,2007-01-26,2007,73
big animal,2004-02-20,2004,73
one week and a day,2017-04-28,2017,72
saturday church,2018-01-12,2018,72
violette,2014-06-13,2014,72
kill team,2014-07-25,2014,72
isnt this a time a tribute concert for harold leventhal,2005-12-09,2005,72
talent given us,2005-06-17,2005,72
men go to battle,2016-07-08,2016,72
brink,2019-03-29,2019,71
farewell party,2015-05-22,2015,71
pasolini,2019-05-10,2019,71
cry the beloved country,1995-12-15,1995,71
sylvio,2017-10-13,2017,71
11 flowers,2013-02-22,2013,71
king leopolds ghost,2006-08-18,2006,71
jerichow,2009-05-15,2009,71
man nobody knew in search of my father cia spymaster william colby,2011-09-23,2011,71
rock the bells,2007-04-11,2007,70
great muppet caper,1981-06-26,1981,70
citizen jane battle for the city,2017-04-21,2017,70
who gets to call it art,2006-02-01,2006,70
sicilian ghost story,2018-11-30,2018,70
cruise,1998-10-23,1998,69
reports on sarah and saleem,2019-06-12,2019,69
moka,2017-06-14,2017,69
bill w,2012-05-18,2012,69
here,2012-04-13,2012,68
afterglow,1997-12-26,1997,68
stations of the cross,2015-07-10,2015,68
sorcerer,1977-06-24,1977,68
into eternity,2011-02-02,2011,68
protagonist,2007-11-30,2007,68
purple butterfly,2004-11-26,2004,68
beauty academy of kabul,2006-03-24,2006,68
who is harry nilsson and why is everybody talkin about him,2010-09-10,2010,68
gospel according to andre,2018-05-25,2018,67
buena vista social club adios,2017-05-26,2017,67
after everything,2018-10-12,2018,67
escape fire the fight to rescue american healthcare,2012-10-05,2012,67
parched,2016-06-17,2016,67
steel city,2007-05-25,2007,67
been rich all my life,2006-07-21,2006,67
super fly,1972-08-04,1972,67
you will be my son,2013-08-16,2013,67
goebbles experiment,2005-08-12,2005,67
mrs parker and the vicious circle,1994-11-23,1994,66
never here,2017-10-20,2017,66
glassland,2016-02-12,2016,66
god knows where i am,2017-03-31,2017,66
strange powers stephin merritt and the magnetic fields,2010-10-27,2010,66
monastery mr vig and the nun,2007-08-29,2007,66
windfall,2012-02-03,2012,65
so goes the nation,2006-10-04,2006,65
tying the knot,2004-10-01,2004,65
ivory tower,2014-06-13,2014,65
photograph,2019-05-17,2019,65
daughters of the sun,2004-07-29,2004,65
apparition,2018-09-07,2018,64
guilty by suspicion,1991-03-15,1991,64
close to home,2007-02-16,2007,64
hamburger hill,1987-08-28,1987,64
following sean,2006-01-13,2006,64
mongolian ping pong,2006-04-21,2006,64
pick of the litter,2018-08-31,2018,64
electric horseman,1979-12-21,1979,64
long dumb road,2018-11-09,2018,64
bright future,2004-11-12,2004,64
horse boy,2009-09-30,2009,64
finding fela,2014-08-01,2014,64
medeas,2015-01-16,2015,64
noble,2015-05-08,2015,63
whos that knocking at my door,1968-09-08,1968,63
state of mind,2005-08-10,2005,63
lipstick dynamite piss vinegar the first ladies of wrestling,2005-03-25,2005,62
vajra sky over tibet,2006-09-08,2006,61
haute cuisine,2013-09-20,2013,61
hideaway le refuge,2010-09-10,2010,61
xy chelsea,2019-05-10,2019,60
alice neel,2007-04-20,2007,60
other half,2017-03-10,2017,60
anything,2018-05-11,2018,60
bride flight,2011-06-10,2011,60
amants criminels,2000-07-21,2000,59
driven,2019-08-16,2019,58
them that follow,2019-08-02,2019,58
bat21,1988-10-21,1988,58
prey,2013-06-07,2013,58
missing person,2009-11-20,2009,57
color me kubrick,2007-03-23,2007,57
little man,2005-10-28,2005,57
viper club,2018-10-26,2018,57
cirkus columbia,2012-02-17,2012,57
in the name of my daughter,2015-05-08,2015,57
heavens gate,1980-11-19,1980,57
yellow birds,2018-06-15,2018,56
monk,2013-03-08,2013,56
alex of venice,2015-04-17,2015,56
after midnight,2004-12-03,2004,56
perlasca the courage of a just man,2005-04-15,2005,56
human surge,2017-03-03,2017,56
very brady sequel,1996-08-23,1996,56
bag of marbles,2018-03-23,2018,55
its about you,2012-01-04,2012,55
gun hill road,2011-08-05,2011,55
siren,2016-12-02,2016,54
cezanne et moi,2017-03-31,2017,54
some velvet morning,2013-12-13,2013,54
allure,2018-03-16,2018,54
csnydeja vu,2008-07-25,2008,54
in satmar custody,2005-04-06,2005,53
milarepa,2007-09-07,2007,52
who do you love,2010-04-09,2010,52
three days of rain,2005-09-30,2005,52
macbeth,2007-06-15,2007,51
in our nature,2012-12-07,2012,51
trial by fire,2019-05-17,2019,51
burn your maps,2019-06-21,2019,50
six dance lessons in six weeks,2014-12-12,2014,50
all my loved ones,2002-08-14,2002,50
introducing the dwights,2007-07-04,2007,50
price of milk,2001-02-16,2001,49
they remain,2018-03-02,2018,49
out of blue,2019-03-22,2019,49
adult life skills,2019-01-18,2019,49
gerontophilia,2015-05-01,2015,48
lucky break,2002-04-05,2002,48
virgin,2004-09-03,2004,48
to the arctic,2012-04-20,2012,48
october gale,2015-03-06,2015,48
cote dazur,2005-09-09,2005,47
full grown men,2008-06-25,2008,47
1492 conquest of paradise,1992-10-09,1992,47
architect,2006-12-01,2006,47
nostalgia,2018-02-16,2018,47
tenants,2006-02-03,2006,46
3 dancing slaves,2005-09-02,2005,46
