title,year,genres_ml,rating_movielens
toy story,1995,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",3.92
jumanji,1995,"['Adventure', 'Children', 'Fantasy']",3.43
grumpier old men,1995,"['Comedy', 'Romance']",3.26
waiting to exhale,1995,"['Comedy', 'Drama', 'Romance']",2.36
father of the bride part ii,1995,['Comedy'],3.07
heat,1995,"['Action', 'Crime', 'Thriller']",3.95
sabrina,1995,"['Comedy', 'Romance']",3.19
tom and huck,1995,"['Adventure', 'Children']",2.88
sudden death,1995,['Action'],3.12
goldeneye,1995,"['Action', 'Adventure', 'Thriller']",3.5
american president the,1995,"['Comedy', 'Drama', 'Romance']",3.67
dracula dead and loving it,1995,"['Comedy', 'Horror']",2.42
balto,1995,"['Adventure', 'Animation', 'Children']",3.12
nixon,1995,['Drama'],3.83
cutthroat island,1995,"['Action', 'Adventure', 'Romance']",3.0
casino,1995,"['Crime', 'Drama']",3.93
sense and sensibility,1995,"['Drama', 'Romance']",3.78
four rooms,1995,['Comedy'],3.7
ace ventura when nature calls,1995,['Comedy'],2.73
money train,1995,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",2.5
get shorty,1995,"['Comedy', 'Crime', 'Thriller']",3.49
copycat,1995,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",3.22
assassins,1995,"['Action', 'Crime', 'Thriller']",3.12
powder,1995,"['Drama', 'Sci-Fi']",3.12
leaving las vegas,1995,"['Drama', 'Romance']",3.62
othello,1995,['Drama'],3.5
now and then,1995,"['Children', 'Drama']",3.33
persuasion,1995,"['Drama', 'Romance']",4.23
city of lost children the cite des enfants perdus la,1995,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",4.01
shanghai triad yao a yao yao dao waipo qiao,1995,"['Crime', 'Drama']",3.0
dangerous minds,1995,['Drama'],3.18
twelve monkeys aka 12 monkeys,1995,"['Mystery', 'Sci-Fi', 'Thriller']",3.98
babe,1995,"['Children', 'Drama']",3.65
dead man walking,1995,"['Crime', 'Drama']",3.84
it takes two,1995,"['Children', 'Comedy']",2.12
clueless,1995,"['Comedy', 'Romance']",3.29
cry the beloved country,1995,['Drama'],4.25
richard iii,1995,"['Drama', 'War']",3.7
dead presidents,1995,"['Action', 'Crime', 'Drama']",3.0
restoration,1995,['Drama'],3.19
mortal kombat,1995,"['Action', 'Adventure', 'Fantasy']",2.54
to die for,1995,"['Comedy', 'Drama', 'Thriller']",3.31
how to make an american quilt,1995,"['Drama', 'Romance']",3.07
seven aka se7en,1995,"['Mystery', 'Thriller']",3.98
pocahontas,1995,"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",3.15
when night is falling,1995,"['Drama', 'Romance']",3.0
usual suspects the,1995,"['Crime', 'Mystery', 'Thriller']",4.24
mighty aphrodite,1995,"['Comedy', 'Drama', 'Romance']",3.46
lamerica,1994,"['Adventure', 'Drama']",5.0
big green the,1995,"['Children', 'Comedy']",2.33
georgia,1995,['Drama'],4.0
home for the holidays,1995,['Drama'],3.06
postman the postino il,1994,"['Comedy', 'Drama', 'Romance']",4.03
indian in the cupboard the,1995,"['Adventure', 'Children', 'Fantasy']",3.24
eye for an eye,1996,"['Drama', 'Thriller']",3.75
mr hollands opus,1995,['Drama'],3.71
dont be a menace to south central while drinking your juice in the hood,1996,"['Comedy', 'Crime']",2.71
two if by sea,1996,"['Comedy', 'Romance']",2.2
biodome,1996,['Comedy'],2.53
lawnmower man 2 beyond cyberspace,1996,"['Action', 'Sci-Fi', 'Thriller']",2.5
french twist gazon maudit,1995,"['Comedy', 'Romance']",3.4
friday,1995,['Comedy'],3.78
from dusk till dawn,1996,"['Action', 'Comedy', 'Horror', 'Thriller']",3.51
fair game,1995,['Action'],1.7
kicking and screaming,1995,"['Comedy', 'Drama']",3.21
miserables les,1995,"['Drama', 'War']",3.46
bed of roses,1996,"['Drama', 'Romance']",4.0
big bully,1996,"['Comedy', 'Drama']",2.2
screamers,1995,"['Action', 'Sci-Fi', 'Thriller']",3.4
nico icon,1995,['Documentary'],4.0
crossing guard the,1995,"['Action', 'Crime', 'Drama', 'Thriller']",3.33
juror the,1996,"['Drama', 'Thriller']",2.76
white balloon the badkonake sefid,1995,"['Children', 'Drama']",4.0
things to do in denver when youre dead,1995,"['Crime', 'Drama', 'Romance']",3.11
antonias line antonia,1995,"['Comedy', 'Drama']",3.88
once upon a time when we were colored,1995,"['Drama', 'Romance']",3.0
angels and insects,1995,"['Drama', 'Romance']",3.86
white squall,1996,"['Action', 'Adventure', 'Drama']",3.97
dunston checks in,1996,"['Children', 'Comedy']",2.5
black sheep,1996,['Comedy'],3.16
nick of time,1995,"['Action', 'Thriller']",3.25
mary reilly,1996,"['Drama', 'Horror', 'Thriller']",2.62
vampire in brooklyn,1995,"['Comedy', 'Horror', 'Romance']",2.83
beautiful girls,1996,"['Comedy', 'Drama', 'Romance']",3.95
broken arrow,1996,"['Action', 'Adventure', 'Thriller']",3.02
in the bleak midwinter,1995,"['Comedy', 'Drama']",3.5
hate haine la,1995,"['Crime', 'Drama']",3.9
heidi fleiss hollywood madam,1995,['Documentary'],5.0
city hall,1996,"['Drama', 'Thriller']",2.79
bottle rocket,1996,"['Adventure', 'Comedy', 'Crime', 'Romance']",3.78
mr wrong,1996,['Comedy'],2.4
unforgettable,1996,"['Mystery', 'Sci-Fi', 'Thriller']",3.0
happy gilmore,1996,['Comedy'],3.44
bridges of madison county the,1995,"['Drama', 'Romance']",3.28
nobody loves me keiner liebt mich,1994,"['Comedy', 'Drama']",4.0
muppet treasure island,1996,"['Adventure', 'Children', 'Comedy', 'Musical']",3.33
catwalk,1996,['Documentary'],4.0
braveheart,1995,"['Action', 'Drama', 'War']",4.03
taxi driver,1976,"['Crime', 'Drama', 'Thriller']",4.11
rumble in the bronx hont faan kui,1995,"['Action', 'Adventure', 'Comedy', 'Crime']",3.54
before and after,1996,"['Drama', 'Mystery']",3.33
anne frank remembered,1995,['Documentary'],3.9
young poisoners handbook the,1995,"['Crime', 'Drama']",3.0
if lucy fell,1996,"['Comedy', 'Romance']",2.5
steal big steal little,1995,['Comedy'],3.0
boys of st vincent the,1992,['Drama'],4.0
boomerang,1992,"['Comedy', 'Romance']",2.66
chungking express chung hing sam lam,1994,"['Drama', 'Mystery', 'Romance']",4.38
flirting with disaster,1996,['Comedy'],3.58
neverending story iii the,1994,"['Adventure', 'Children', 'Fantasy']",2.0
jupiters wife,1994,['Documentary'],3.0
pie in the sky,1996,"['Comedy', 'Romance']",2.0
jade,1995,['Thriller'],2.83
down periscope,1996,['Comedy'],2.95
man of the year,1995,['Documentary'],3.0
up close and personal,1996,"['Drama', 'Romance']",3.5
birdcage the,1996,['Comedy'],3.49
brothers mcmullen the,1995,['Comedy'],3.33
bad boys,1995,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",3.25
amazing panda adventure the,1995,"['Adventure', 'Children']",3.33
basketball diaries the,1995,['Drama'],3.47
awfully big adventure an,1995,['Drama'],5.0
amateur,1994,"['Crime', 'Drama', 'Thriller']",2.0
apollo 13,1995,"['Adventure', 'Drama', 'IMAX']",3.85
rob roy,1995,"['Action', 'Drama', 'Romance', 'War']",3.55
addiction the,1995,"['Drama', 'Horror']",1.5
batman forever,1995,"['Action', 'Adventure', 'Comedy', 'Crime']",2.92
beauty of the day belle de jour,1967,['Drama'],3.88
beyond rangoon,1995,"['Adventure', 'Drama', 'War']",2.42
blue in the face,1995,"['Comedy', 'Drama']",3.33
canadian bacon,1995,"['Comedy', 'War']",2.86
casper,1995,"['Adventure', 'Children']",2.81
clockers,1995,"['Crime', 'Drama', 'Mystery']",2.89
congo,1995,"['Action', 'Adventure', 'Mystery', 'Sci-Fi']",2.88
crimson tide,1995,"['Drama', 'Thriller', 'War']",3.64
crumb,1994,['Documentary'],4.21
desperado,1995,"['Action', 'Romance', 'Western']",3.56
devil in a blue dress,1995,"['Crime', 'Film-Noir', 'Mystery', 'Thriller']",3.32
hard with a vengeance,1995,"['Action', 'Crime', 'Thriller']",3.56
doom generation the,1995,"['Comedy', 'Crime', 'Drama']",2.83
first knight,1995,"['Action', 'Drama', 'Romance']",3.08
free willy 2 the adventure home,1995,"['Adventure', 'Children', 'Drama']",2.4
hackers,1995,"['Action', 'Adventure', 'Crime', 'Thriller']",3.23
jeffrey,1995,"['Comedy', 'Drama']",3.83
johnny mnemonic,1995,"['Action', 'Sci-Fi', 'Thriller']",2.68
judge dredd,1995,"['Action', 'Crime', 'Sci-Fi']",2.67
jury duty,1995,['Comedy'],2.7
kids,1995,['Drama'],3.98
living in oblivion,1995,['Comedy'],4.31
lord of illusions,1995,['Horror'],2.75
love human remains,1993,"['Comedy', 'Drama']",1.0
mad love,1995,"['Drama', 'Romance']",1.5
mallrats,1995,"['Comedy', 'Romance']",3.4
mighty morphin power rangers the movie,1995,"['Action', 'Children']",2.26
mute witness,1994,"['Comedy', 'Horror', 'Thriller']",3.5
nadja,1994,['Drama'],3.5
net the,1995,"['Action', 'Crime', 'Thriller']",3.04
nine months,1995,"['Comedy', 'Romance']",2.82
party girl,1995,['Comedy'],4.12
prophecy the,1995,"['Fantasy', 'Horror', 'Mystery']",3.46
reckless,1995,"['Comedy', 'Fantasy']",3.0
safe,1995,['Thriller'],2.8
scarlet letter the,1995,"['Drama', 'Romance']",2.42
showgirls,1995,['Drama'],2.47
smoke,1995,"['Comedy', 'Drama']",3.67
something to talk about,1995,"['Comedy', 'Drama', 'Romance']",3.1
species,1995,"['Horror', 'Sci-Fi']",2.67
strange days,1995,"['Action', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",3.25
umbrellas of cherbourg the parapluies de cherbourg les,1964,"['Drama', 'Musical', 'Romance']",4.12
three wishes,1995,"['Drama', 'Fantasy']",3.0
total eclipse,1995,"['Drama', 'Romance']",3.0
to wong foo thanks for everything julie newmar,1995,['Comedy'],3.43
under siege 2 dark territory,1995,['Action'],2.72
unstrung heroes,1995,"['Comedy', 'Drama']",3.17
unzipped,1995,['Documentary'],3.0
walk in the clouds a,1995,"['Drama', 'Romance']",3.43
waterworld,1995,"['Action', 'Adventure', 'Sci-Fi']",2.91
white mans burden,1995,['Drama'],3.17
wild bill,1995,['Western'],3.0
browning version the,1994,['Drama'],3.5
bushwhacked,1995,"['Adventure', 'Comedy', 'Crime', 'Mystery']",3.0
burnt by the sun utomlyonnye solntsem,1994,['Drama'],3.83
before the rain pred dozhdot,1994,"['Drama', 'War']",4.0
before sunrise,1995,"['Drama', 'Romance']",4.04
billy madison,1995,['Comedy'],3.33
babysitter the,1995,"['Drama', 'Thriller']",2.33
boys on the side,1995,"['Comedy', 'Drama']",3.43
cure the,1995,['Drama'],3.0
castle freak,1995,['Horror'],3.0
circle of friends,1995,"['Drama', 'Romance']",3.75
clerks,1994,['Comedy'],3.86
don juan demarco,1995,"['Comedy', 'Drama', 'Romance']",3.61
disclosure,1994,"['Drama', 'Thriller']",3.54
drop zone,1994,"['Action', 'Thriller']",2.86
destiny turns on the radio,1995,['Comedy'],2.33
death and the maiden,1994,"['Drama', 'Thriller']",3.43
dolores claiborne,1995,"['Drama', 'Thriller']",3.4
dumb dumber dumb and dumber,1994,"['Adventure', 'Comedy']",3.06
eat drink man woman yin shi nan nu,1994,"['Comedy', 'Drama', 'Romance']",3.89
exotica,1994,['Drama'],3.5
exit to eden,1994,['Comedy'],2.59
ed wood,1994,"['Comedy', 'Drama']",3.68
french kiss,1995,"['Action', 'Comedy', 'Romance']",3.48
forget paris,1995,"['Comedy', 'Romance']",3.34
far from home the adventures of yellow dog,1995,"['Adventure', 'Children']",4.0
goofy movie a,1995,"['Animation', 'Children', 'Comedy', 'Romance']",3.0
hideaway,1995,['Thriller'],2.38
fluke,1995,"['Children', 'Drama']",4.0
farinelli il castrato,1994,"['Drama', 'Musical']",3.6
gordy,1995,"['Children', 'Comedy', 'Fantasy']",3.0
hoop dreams,1994,['Documentary'],4.29
heavenly creatures,1994,"['Crime', 'Drama']",3.93
houseguest,1994,['Comedy'],3.18
immortal beloved,1994,"['Drama', 'Romance']",3.72
heavyweights heavy weights,1995,"['Children', 'Comedy']",2.5
hunted the,1995,['Action'],3.0
iq,1994,"['Comedy', 'Romance']",3.45
interview with the vampire the vampire chronicles,1994,"['Drama', 'Horror']",3.46
jefferson in paris,1995,['Drama'],3.0
jerky boys the,1995,['Comedy'],2.07
junior,1994,"['Comedy', 'Sci-Fi']",2.83
just cause,1995,"['Mystery', 'Thriller']",3.5
kid in king arthurs court a,1995,"['Adventure', 'Children', 'Comedy', 'Fantasy', 'Romance']",2.6
kiss of death,1995,"['Crime', 'Drama', 'Thriller']",3.2
star wars episode iv a new hope,1977,"['Action', 'Adventure', 'Sci-Fi']",4.23
little women,1994,['Drama'],3.88
little princess a,1995,"['Children', 'Drama']",3.9
ladybird ladybird,1994,['Drama'],4.0
like water for chocolate como agua para chocolate,1992,"['Drama', 'Fantasy', 'Romance']",3.94
legends of the fall,1994,"['Drama', 'Romance', 'War', 'Western']",3.4
major payne,1995,['Comedy'],2.94
my crazy life mi vida loca,1993,['Drama'],3.0
love affair,1994,"['Drama', 'Romance']",3.4
losing isaiah,1995,['Drama'],3.5
madness of king george the,1994,"['Comedy', 'Drama']",3.76
mary shelleys frankenstein frankenstein,1994,"['Drama', 'Horror', 'Sci-Fi']",2.95
man of the house,1995,['Comedy'],2.93
mixed nuts,1994,['Comedy'],2.0
milk money,1994,"['Comedy', 'Romance']",3.25
miracle on 34th street,1994,['Drama'],3.22
miami rhapsody,1995,['Comedy'],1.5
my family,1995,['Drama'],3.0
murder in the first,1995,"['Drama', 'Thriller']",4.08
nobodys fool,1994,"['Comedy', 'Drama', 'Romance']",3.79
nell,1994,['Drama'],3.34
new jersey drive,1995,"['Crime', 'Drama']",3.67
new york cop nyu yoku no koppu,1993,"['Action', 'Crime']",4.5
beyond bedlam,1993,"['Drama', 'Horror']",4.0
nina takes a lover,1994,"['Comedy', 'Romance']",3.0
natural born killers,1994,"['Action', 'Crime', 'Thriller']",3.23
only you,1994,"['Comedy', 'Romance']",3.56
once were warriors,1994,"['Crime', 'Drama']",4.04
poison ivy ii,1996,"['Drama', 'Thriller']",2.33
outbreak,1995,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",3.43
leon the professional aka the professional leon,1994,"['Action', 'Crime', 'Drama', 'Thriller']",4.02
perez family the,1995,"['Comedy', 'Romance']",3.0
pyromaniacs love story a,1995,"['Comedy', 'Romance']",3.0
pulp fiction,1994,"['Comedy', 'Crime', 'Drama', 'Thriller']",4.2
pushing hands tui shou,1992,['Drama'],2.0
priest,1994,['Drama'],4.0
quiz show,1994,['Drama'],3.52
picture bride bijo photo,1994,"['Drama', 'Romance']",4.0
queen margot reine margot la,1994,"['Drama', 'Romance']",3.2
quick and the dead the,1995,"['Action', 'Thriller', 'Western']",2.95
roommates,1995,"['Comedy', 'Drama']",3.67
ready to wear pretaporter,1994,['Comedy'],2.83
three colors red trois couleurs rouge,1994,['Drama'],4.22
three colors blue trois couleurs bleu,1993,['Drama'],3.9
three colors white trzy kolory bialy,1994,"['Comedy', 'Drama']",4.03
rentakid,1995,['Comedy'],3.0
relative fear,1994,"['Horror', 'Thriller']",3.0
stuart saves his family,1995,['Comedy'],1.44
swan princess the,1994,"['Animation', 'Children']",3.33
secret of roan inish the,1994,"['Children', 'Drama', 'Fantasy', 'Mystery']",3.75
specialist the,1994,"['Action', 'Drama', 'Thriller']",3.08
stargate,1994,"['Action', 'Adventure', 'Sci-Fi']",3.38
santa clause the,1994,"['Comedy', 'Drama', 'Fantasy']",3.2
shawshank redemption the,1994,"['Crime', 'Drama']",4.43
shallow grave,1994,"['Comedy', 'Drama', 'Thriller']",3.6
suture,1993,"['Film-Noir', 'Thriller']",3.0
strawberry and chocolate fresa y chocolate,1993,['Drama'],4.0
