title,release_date_rt,year,genres_rt,rating_rt_audience
percy jackson the olympians the lightning thief,2010-02-12,2010,"['Action & Adventure', 'Comedy', 'Drama', 'Science Fiction & Fantasy']",53.0
please give,2010-04-30,2010,['Comedy'],64.0
10,1979-10-05,1979,"['Comedy', 'Romance']",53.0
12 angry men twelve angry men,1957-04-13,1957,"['Classics', 'Drama']",97.0
20000 leagues under the sea,1954-01-01,1954,"['Action & Adventure', 'Drama', 'Kids & Family']",74.0
10000 bc,2008-03-07,2008,"['Action & Adventure', 'Classics', 'Drama']",37.0
39 steps,1935-08-01,1935,"['Action & Adventure', 'Classics', 'Mystery & Suspense']",86.0
310 to yuma,1957-08-07,1957,"['Classics', 'Drama', 'Western']",79.0
charly a heartbeat away,2002-09-27,2002,"['Comedy', 'Drama', 'Romance']",87.0
abraham lincoln,1930-11-08,1930,"['Classics', 'Drama']",40.0
dark water,2002-01-19,2002,"['Art House & International', 'Horror', 'Mystery & Suspense']",66.0
accused,1988-10-14,1988,"['Drama', 'Mystery & Suspense']",79.0
lost city,2005-09-03,2005,['Drama'],64.0
breaking point,1950-10-06,1950,['Drama'],86.0
adams rib,1949-11-18,1949,"['Classics', 'Comedy', 'Romance']",86.0
bridge of san luis rey,2005-06-10,2005,"['Art House & International', 'Drama', 'Faith & Spirituality']",35.0
prowler cost of living,1951-12-03,1951,"['Drama', 'Mystery & Suspense']",86.0
criminal,2004-09-24,2004,"['Drama', 'Mystery & Suspense']",57.0
adventures of mark twain,1985-03-01,1985,"['Action & Adventure', 'Animation', 'Kids & Family']",82.0
deep blue,2005-06-17,2005,"['Documentary', 'Special Interest']",80.0
adventures of robin hood,1938-05-14,1938,"['Action & Adventure', 'Classics', 'Romance']",89.0
man hunt,1941-01-01,1941,"['Classics', 'Drama', 'Mystery & Suspense']",75.0
dead end,2003-09-26,2003,"['Comedy', 'Horror', 'Mystery & Suspense']",60.0
bandwagon,1997-09-12,1997,['Comedy'],91.0
whore,2004-04-16,2004,"['Art House & International', 'Drama']",63.0
tristan isolde,2006-01-13,2006,"['Drama', 'Science Fiction & Fantasy', 'Romance']",71.0
wild side,2005-06-10,2005,"['Art House & International', 'Drama']",80.0
tale of two pizzas,2003-11-07,2003,['Comedy'],
running scared,2006-02-24,2006,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",79.0
going the distance,2004-08-20,2004,['Comedy'],61.0
ultraviolet,2006-03-03,2006,"['Action & Adventure', 'Drama', 'Horror', 'Science Fiction & Fantasy']",30.0
home of the brave,2004-05-11,2004,"['Action & Adventure', 'Documentary', 'Drama', 'Special Interest']",48.0
arthur and the invisibles arthur and the minimoys,2007-01-12,2007,"['Animation', 'Kids & Family', 'Science Fiction & Fantasy']",56.0
malevolence,2004-09-10,2004,['Horror'],83.0
eternal,2004-08-26,2004,"['Horror', 'Mystery & Suspense']",39.0
farewell to arms,1957-12-14,1957,"['Classics', 'Drama', 'Romance']",37.0
narrow margin,1952-05-04,1952,"['Classics', 'Drama', 'Mystery & Suspense']",88.0
matador,2006-01-27,2006,"['Action & Adventure', 'Comedy', 'Drama', 'Mystery & Suspense']",65.0
smile,2005-04-08,2005,"['Art House & International', 'Comedy', 'Drama']",66.0
intruder lintrus,2005-12-23,2005,"['Art House & International', 'Drama']",73.0
saint ralph,2005-08-05,2005,"['Comedy', 'Drama']",85.0
baxter,2005-08-26,2005,"['Comedy', 'Romance']",75.0
oliver twist,2005-09-30,2005,"['Drama', 'Kids & Family']",63.0
alamo,1960-10-24,1960,"['Action & Adventure', 'Classics', 'Drama', 'Western']",63.0
g,2005-09-16,2005,"['Drama', 'Romance']",60.0
alexander the great,1956-03-28,1956,['Classics'],42.0
alfie,1966-08-24,1966,"['Classics', 'Comedy', 'Drama', 'Romance']",76.0
neverwas,2005-09-09,2005,"['Drama', 'Mystery & Suspense']",65.0
second chance,2006-02-17,2006,"['Drama', 'Faith & Spirituality']",78.0
moonlight,2003-10-17,2003,"['Drama', 'Mystery & Suspense']",67.0
aliens,1986-07-18,1986,"['Action & Adventure', 'Horror', 'Science Fiction & Fantasy']",94.0
rise blood hunter,2007-06-01,2007,"['Horror', 'Mystery & Suspense']",20.0
all about eve,1950-01-01,1950,"['Classics', 'Drama']",94.0
when do we eat,2006-04-07,2006,['Comedy'],68.0
mostly unfabulous social life of ethan green,2006-06-16,2006,"['Comedy', 'Drama']",58.0
dirty,2006-02-24,2006,['Drama'],42.0
stay alive,2006-03-24,2006,"['Horror', 'Mystery & Suspense']",55.0
all of me,1984-09-21,1984,"['Comedy', 'Science Fiction & Fantasy']",67.0
all quiet on the western front,,,['Drama'],69.0
dreamland,2006-12-19,2006,"['Art House & International', 'Drama']",65.0
independent lens,2006-10-06,2006,"['Documentary', 'Special Interest']",84.0
all the kings men,1949-11-08,1949,"['Classics', 'Drama']",78.0
street fight,2005-01-01,2005,"['Documentary', 'Special Interest']",93.0
lost horizon,1973-03-17,1973,"['Action & Adventure', 'Drama', 'Musical & Performing Arts', 'Science Fiction & Fantasy']",45.0
motel,2005-06-28,2005,"['Comedy', 'Drama']",64.0
once in a lifetime the extraordinary story of the new york cosmos,2006-05-18,2006,"['Documentary', 'Sports & Fitness']",80.0
requiem,2006-10-20,2006,"['Art House & International', 'Drama', 'Horror', 'Mystery & Suspense']",66.0
gui si silk,2006-05-24,2006,"['Art House & International', 'Horror', 'Mystery & Suspense']",57.0
park,2006-06-12,2006,"['Art House & International', 'Comedy', 'Drama']",48.0
4th dimension,2006-04-01,2006,"['Drama', 'Science Fiction & Fantasy']",31.0
bon cop bad cop,2006-07-04,2006,"['Action & Adventure', 'Comedy']",82.0
amazing grace,2007-02-23,2007,"['Drama', 'Mystery & Suspense']",85.0
silence,,,"['Action & Adventure', 'Drama', 'Mystery & Suspense', 'Television']",38.0
cocaine cowboys,2006-10-27,2006,['Documentary'],79.0
gone,2007-03-09,2007,"['Horror', 'Mystery & Suspense']",20.0
situation,2006-10-18,2006,"['Drama', 'Mystery & Suspense']",58.0
snow blind,2006-12-01,2006,"['Documentary', 'Sports & Fitness']",
four sheets to the wind,2007-01-22,2007,"['Art House & International', 'Drama']",61.0
tigers tail,2006-09-26,2006,"['Comedy', 'Drama', 'Mystery & Suspense']",30.0
its a boy girl thing,2006-12-26,2006,"['Comedy', 'Romance']",61.0
slipstream,2007-10-26,2007,"['Art House & International', 'Comedy', 'Drama', 'Science Fiction & Fantasy']",29.0
delirious,2007-08-15,2007,"['Comedy', 'Drama']",57.0
interview,2007-07-13,2007,"['Art House & International', 'Drama']",55.0
american anthem,1986-06-01,1986,"['Action & Adventure', 'Documentary', 'Drama']",65.0
ten,2007-01-18,2007,['Comedy'],40.0
happening,2008-06-11,2008,"['Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']",24.0
moliere,2007-07-27,2007,['Comedy'],79.0
straightheads closure,2007-04-27,2007,"['Drama', 'Mystery & Suspense']",32.0
borderland,2007-11-09,2007,"['Drama', 'Horror', 'Mystery & Suspense']",43.0
spiral,2007-01-27,2007,"['Drama', 'Mystery & Suspense']",59.0
alexandra,2007-05-25,2007,['Drama'],69.0
blood and tears the arabisraeli conflict,2007-06-15,2007,['Documentary'],33.0
cool school,2008-03-07,2008,"['Documentary', 'Musical & Performing Arts']",63.0
pathology,2008-04-18,2008,"['Drama', 'Mystery & Suspense']",39.0
disneys a christmas carol,2009-11-06,2009,"['Animation', 'Drama', 'Kids & Family', 'Science Fiction & Fantasy']",58.0
deep water,2006-09-03,2006,"['Documentary', 'Special Interest']",87.0
road to victory,2007-03-18,2007,"['Art House & International', 'Drama', 'Sports & Fitness']",78.0
beverly hills chihuahua,2008-09-30,2008,['Comedy'],52.0
fireflies in the garden,2011-10-14,2011,['Drama'],45.0
eye,2008-02-01,2008,"['Drama', 'Horror', 'Mystery & Suspense']",43.0
day of the dead,2008-04-01,2008,"['Horror', 'Mystery & Suspense']",22.0
my best friends girl,2008-09-18,2008,"['Comedy', 'Drama']",46.0
burrowers,2008-09-01,2008,"['Horror', 'Mystery & Suspense', 'Western']",34.0
midnight meat train,2008-08-14,2008,"['Drama', 'Horror', 'Mystery & Suspense']",50.0
lucky ones,2008-09-26,2008,"['Comedy', 'Drama']",54.0
run fatboy run,2007-09-07,2007,['Comedy'],64.0
closing escrow,2007-02-28,2007,['Comedy'],36.0
whiteout,2009-09-11,2009,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",21.0
randy and the mob,2007-10-13,2007,"['Comedy', 'Documentary']",39.0
black irish,2007-10-26,2007,['Drama'],58.0
wild child,2008-08-14,2008,['Comedy'],61.0
powder blue,2009-05-08,2009,['Drama'],40.0
king corn,2007-10-12,2007,"['Documentary', 'Musical & Performing Arts', 'Special Interest']",78.0
