norm_title,year_cluster,rating_imdb,rating_metacritic,rating_movielens,rating_rt_audience,title,year,release_date,genres,ID_IMDB,ID_METACRITIC,ID_MOVIELENS
00 schneider jagd auf nihil baxter,0,,,4.5,,00 schneider jagd auf nihil baxter,1994,,"['Comedy', 'Crime']",,,9251.0
1,0,,,,82.0,1,2013,,"['Horror', 'Mystery & Suspense']",,,
1 000 times good night,0,,,,71.0,1 000 times good night,2014,,['Drama'],,,
1 54,0,,,,57.0,1 54,2018,,"['Art House & International', 'Drama']",,,
1 900,0,,,4.0,,1 900,1994,,"['Drama', 'Romance']",,,675.0
1 night,0,,,,33.0,1 night,2017,,"['Drama', 'Romance']",,,
10,0,,68.0,3.4,67.0,10,1979,,"['Comedy', 'Romance']",,271.0,4492.0
10 000 b c,0,,,,8.0,10 000 b c,2008,,"['Action & Adventure', 'Classics', 'Drama']",,,
10 000 bc,0,5.1,34.0,2.7,,10 000 bc,2008,,"['Action', 'Adventure', 'Drama']",1603.0,4613.0,6677.0
10 000 km,0,,75.0,,,10 000 km,2015,,"['Drama', 'Comedy', 'Romance']",,8856.0,
10 cent pistol,0,,,1.2,43.0,10 cent pistol,2015,,"['Crime', 'Thriller']",,,8980.0
10 cloverfield lane,0,7.2,76.0,3.7,90.0,10 cloverfield lane,2016,,"['Drama', 'Horror', 'Mystery']",2136.0,8510.0,9204.0
10 items or less,0,,54.0,2.7,,10 items or less,2006,,"['Drama', 'Comedy', 'Romance']",,7533.0,6335.0
10 minutes gone,0,,,,0.0,10 minutes gone,2019,,"['Action & Adventure', 'Mystery & Suspense']",,,
10 mph,0,,,,80.0,10 mph,2015,,"['Documentary', 'Special Interest']",,,
10 questions for the dalai lama,0,,,,79.0,10 questions for the dalai lama,2007,,"['Documentary', 'Special Interest', 'Faith & Spirituality']",,,
10 rules for sleeping around,0,,,,0.0,10 rules for sleeping around,2014,,['Comedy'],,,
10 things i hate about you,0,7.3,70.0,3.5,69.0,10 things i hate about you,1999,,"['Comedy', 'Drama', 'Romance']",872.0,8556.0,1940.0
10 to midnight,0,,,,40.0,10 to midnight,1983,,"['Action & Adventure', 'Drama', 'Mystery & Suspense']",,,
10 years,0,,61.0,3.5,60.0,10 years,2011,,"['Drama', 'Comedy', 'Romance']",,6472.0,8020.0
100 bloody acres,0,,63.0,,79.0,100 bloody acres,2013,,"['Horror', 'Comedy']",,4882.0,
100 girls,0,,,3.2,60.0,100 girls,2000,,"['Comedy', 'Romance']",,,4951.0
100 streets,0,,,2.5,41.0,100 streets,2016,,['Drama'],,,9450.0
1001 grams,0,,,,82.0,1001 grams,2015,,['Drama'],,,
101 dalmatians,0,,83.0,3.4,98.0,101 dalmatians,1961,,"['Adventure', 'Comedy', 'Animation', 'Family']",,7512.0,1549.0
101 dalmatians,1,5.7,49.0,3.1,41.0,101 dalmatians,1996,,"['Adventure', 'Comedy', 'Crime']",599.0,4984.0,1052.0
101 dalmatians ii patch s london adventure,0,,,2.5,67.0,101 dalmatians ii patch s london adventure,2002,,"['Animation', 'Children']",,,8645.0
101 reykjavik,0,,,3.5,,101 reykjavik,2000,,"['Comedy', 'Drama', 'Romance']",,,4338.0
102 dalmatians,0,,35.0,2.8,31.0,102 dalmatians,2000,,"['Comedy', 'Family']",,3595.0,2976.0
10th kingdom,0,,,2.8,,10th kingdom,2000,,"['Adventure', 'Comedy', 'Fantasy']",,,5615.0
10th victim,0,,,4.0,,10th victim,1965,,"['Action', 'Comedy', 'Sci-Fi', 'Thriller']",,,3271.0
10th wolf,0,,36.0,4.5,19.0,10th wolf,2006,,"['Drama', 'Mystery', 'Thriller', 'Crime']",,1334.0,6581.0
10x10,0,,,,67.0,10x10,2018,,['Mystery & Suspense'],,,
11,0,,,,7.0,11,2016,,"['Drama', 'Horror']",,,
11 09 01 september,0,,,4.0,,11 09 01 september,2002,,['Drama'],,,5011.0
11 14,0,,,3.8,92.0,11 14,2003,,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']",,,5660.0
11 55,0,,,,100.0,11 55,2017,,['Drama'],,,
