title,release_year,genres,rating_imdb,rating_movielens,rating_metacritic,rating_rt_audience,count_ratings,imdb_norm,movielens_norm,metacritic_norm,rt_norm,num_available_ratings,superscore_mean,superscore_median
alpha,2018,"['Adventure', 'Thriller']",6.6,4.5,63.0,70.0,4,6.6,9.0,6.3,7.0,4,7.225,6.8
annihilation,2018,"['Adventure', 'Mystery', 'Sci-Fi', 'Thriller']",6.8,3.83,79.0,66.0,4,6.8,7.66,7.9,6.6,4,7.24,7.23
antman and the wasp,2018,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",7.0,3.67,70.0,75.0,4,7.0,7.34,7.0,7.5,4,7.21,7.17
blackkklansman,2018,"['Comedy', 'Crime', 'Drama']",7.5,2.5,83.0,83.0,4,7.5,5.0,8.3,8.3,4,7.275,7.9
blockers,2018,['Comedy'],6.2,3.0,69.0,50.0,4,6.2,6.0,6.9,5.0,4,6.025,6.1
commuter,2018,"['Crime', 'Drama', 'Mystery', 'Thriller']",6.3,1.5,56.0,40.0,4,6.3,3.0,5.6,4.0,4,4.725,4.8
deadpool 2,2018,"['Action', 'Comedy', 'Sci-Fi']",7.6,3.88,66.0,85.0,4,7.6,7.76,6.6,8.5,4,7.615,7.68
death wish,2018,"['Action', 'Crime', 'Drama', 'Thriller']",6.3,4.0,31.0,71.0,4,6.3,8.0,3.1,7.1,4,6.125,6.699999999999999
game night,2018,"['Action', 'Comedy', 'Crime', 'Horror']",6.9,4.0,66.0,77.0,4,6.9,8.0,6.6,7.7,4,7.3,7.300000000000001
incredibles 2,2018,"['Action', 'Adventure', 'Animation', 'Children']",7.6,3.0,80.0,84.0,4,7.6,6.0,8.0,8.4,4,7.5,7.8
insidious the last key,2018,"['Horror', 'Mystery', 'Thriller']",5.7,3.5,49.0,51.0,4,5.7,7.0,4.9,5.1,4,5.675000000000001,5.4
jurassic world fallen kingdom,2018,"['Action', 'Adventure', 'Drama', 'Sci-Fi', 'Thriller']",6.1,3.25,51.0,48.0,4,6.1,6.5,5.1,4.8,4,5.625,5.6
love simon,2018,"['Comedy', 'Drama']",7.5,4.0,72.0,88.0,4,7.5,8.0,7.2,8.8,4,7.875,7.75
mamma mia here we go again,2018,"['Comedy', 'Romance']",6.6,4.5,60.0,66.0,4,6.6,9.0,6.0,6.6,4,7.050000000000001,6.6
maze runner the death cure,2018,"['Action', 'Mystery', 'Sci-Fi', 'Thriller']",6.2,3.5,50.0,59.0,4,6.2,7.0,5.0,5.9,4,6.025,6.050000000000001
mission impossible fallout,2018,"['Action', 'Adventure', 'Thriller']",7.7,3.75,86.0,88.0,4,7.7,7.5,8.6,8.8,4,8.149999999999999,8.15
pacific rim uprising,2018,"['Action', 'Fantasy', 'Sci-Fi']",5.6,2.75,44.0,38.0,4,5.6,5.5,4.4,3.8,4,4.825,4.95
quiet place,2018,"['Drama', 'Horror', 'Thriller']",7.5,2.75,82.0,83.0,4,7.5,5.5,8.2,8.3,4,7.375,7.85
rampage,2018,"['Action', 'Adventure', 'Sci-Fi']",6.1,3.0,45.0,71.0,4,6.1,6.0,4.5,7.1,4,5.925000000000001,6.05
solo a star wars story,2018,"['Action', 'Adventure', 'Children', 'Sci-Fi']",6.9,3.9,62.0,64.0,4,6.9,7.8,6.2,6.4,4,6.824999999999999,6.65
sorry to bother you,2018,"['Comedy', 'Fantasy', 'Sci-Fi']",6.9,4.5,80.0,70.0,4,6.9,9.0,8.0,7.0,4,7.725,7.5
tag,2018,['Comedy'],6.5,4.0,56.0,56.0,4,6.5,8.0,5.6,5.6,4,6.425000000000001,6.05
tomb raider,2018,"['Action', 'Adventure', 'Fantasy']",6.3,2.5,48.0,55.0,4,6.3,5.0,4.8,5.5,4,5.4,5.25
alien covenant,2017,"['Action', 'Horror', 'Sci-Fi', 'Thriller']",6.4,2.8,65.0,55.0,4,6.4,5.6,6.5,5.5,4,6.0,6.0
american made,2017,"['Crime', 'Thriller']",7.1,4.5,65.0,78.0,4,7.1,9.0,6.5,7.8,4,7.6000000000000005,7.449999999999999
annabelle creation,2017,['Horror'],6.5,4.0,62.0,67.0,4,6.5,8.0,6.2,6.7,4,6.85,6.6
